"%s was added to your shopping cart.","%s wurde in den Warenkorb gelegt."
"%s was updated in your shopping cart.","%s wurde aktualisiert im Warenkorb."
"* Required Fields","* Pflichtfelder"
"Add New Address","Neue Adresse hinzufügen"
"Add New Condition","Neue Bedingung hinzufügen"
"Add coupon code for shopping cart","Rabattcode für warenkorb"
"Add gift messages to shopping cart","Geschenknachricht zum Warenkorb hinzufügen"
"Add product to shopping cart","Artikel in den Warenkorb legen"
"Add product(s) to shopping cart","Artikel in den Warenkorb legen"
"Add to Cart","In den Warenkorb"
"Add to Compare","Auf die Vergleichsliste"
"Add to Wishlist","Auf den Wunschzettel"
"Additional Product Info","Zusätzliche Artikelinfo"
"Address","Adresse"
"Address %s of %s","Adresse %s von %s"
"After Adding a Product Redirect to Shopping Cart","Nach dem Hinzufügen eines Artikel zum Warenkorb weiterleiten"
"Allow Guest Checkout","Bezahlvorgang als Gast ermöglichen"
"Already registered?","Bereits registriert?"
"An error occurred in the process of payment","Fehler im Bezahlvorgang"
"An error occurred while deleting this condition.","Ein Fehler ist beim Löschen der Bedingung aufgetreten."
"An error occurred while saving this condition.","Ein Fehler ist beim Speichern der Bedingung aufgetreten."
"Apply Coupon","Rabattcode einlösen"
"Are you sure you would like to remove this item from the shopping cart?",Soll dieser Artikel wirklich aus Deinem Warenkorb entfernt werden?
"Back","Zurück"
"Back to Billing Information","Zurück zur Rechnungsinformation"
"Back to Select Addresses","Zurück zur Adress-Auswahl"
"Back to Shipping Information","Zurück zur Versandinformation"
"Back to Shopping Cart","Zurück zum Warenkorb"
"Based on your selection, you may be interested in the following items:",Ausgehend von Deiner Auswahl könntest Du auch an den folgenden Produkten interessiert sein:
"Billing Address","Rechnungsadresse"
"Billing Information","Rechnungsinformation"
"Billing Information - %s","Rechnungsinformation - %s"
"Cancel Coupon","Rabattcode stornieren"
"Cannot add item to the shopping cart.","Artikel konnte nicht zum Warenkorb hinzugefügt werden."
"Cannot add the item to shopping cart","Konnte Artikel nicht in den Warenkorb legen"
"Cannot add the item to shopping cart.","Artikel konnte nicht zum Warenkorb hinzugefügt werden."
"Cannot apply the coupon code.","Der Rabattcode konnte nicht eingelöst werden."
"Cannot configure product.","Artikel konnte nicht konfiguriert werden."
"Cannot open the overview page","Übersichtsseite konnte nicht geöffnet werden."
"Cannot process the item.","Artikel konnte nicht verarbeitet werden."
"Cannot remove the item.","Artikel konnte nicht entfernt werden."
"Cannot update shopping cart.","Warenkorb konnte nicht aktualisiert werden."
"Cannot update the item.","Artikel konnte nicht aktualisiert werden."
"Card Verification Number Visual Reference","Kartenprüfnummer"
"Cart Product API","Warenkorb Artikel-API"
"Cart Subtotal:","Zwischensumme:"
"Change","Ändern"
"Change Billing Address","Rechnungsadresse ändern"
"Checkbox Text","Checkbox Text"
"Checkout","Zur Kasse"
"Checkout Conditions","Widerrufsbelehrung u.ä."
"Checkout Method",Wie möchtest Du zur Kasse gehen?
"Checkout Options","Bezahloptionen"
"Checkout Progress Wrapper","Checkout Fortschritt Box"
"Checkout Section","Bezahlvorgang"
"Checkout Terms and Conditions","AGB"
"Checkout as Guest","Als Gast zur Kasse gehen"
"Checkout as a Guest or Register","Als Gast zur Kasse oder registrieren"
"Checkout with Multiple Addresses","Zur Kasse mit mehreren Adressen"
"City","Stadt"
"Clear Shopping Cart","Warenkorb leeren"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target=\'_blank\'"">Klicke hier</a> , um die Bestellbestätigung auszudrucken."
"Click <a href=""%s"">here</a> to continue shopping.",Klicke <a href="%s">hier</a> um Deinen Einkauf fortzusetzen.
"Close","Schließen"
"Company","Firma"
"Condition Name","Bedingungsbezeichnung"
"Configurable Product Image","Bild für konfigurierbaren Artikel"
"Configure Cart Item","Warenkorb Artikel konfigurieren"
"Confirm Password","Passwort bestätigen"
"Content","Inhalt"
"Content Height","Inhalt Höhe"
"Content Height (css)","Inhalt Höhe (CSS)"
